run,query,data,load_time,exec_time
1,query-13.sparql,data_100.nt,99,78
1,query-14.sparql,data_100.nt,98,201
1,query-15.sparql,data_100.nt,100,61
1,query-16.sparql,data_100.nt,96,238
1,query-17.sparql,data_100.nt,97,85
1,query-18.sparql,data_100.nt,97,61
1,query-19.sparql,data_100.nt,96,77
1,query-2.sparql,data_100.nt,102,15742
1,query-20.sparql,data_100.nt,100,168
1,query-21.sparql,data_100.nt,97,77
1,query-22.sparql,data_100.nt,96,6660
1,query-23.sparql,data_100.nt,96,76
1,query-24.sparql,data_100.nt,97,1184
1,query-25.sparql,data_100.nt,98,100
1,query-26.sparql,data_100.nt,98,63
1,query-27.sparql,data_100.nt,99,1439
1,query-28.sparql,data_100.nt,97,2820
1,query-29.sparql,data_100.nt,98,2115
1,query-3.sparql,data_100.nt,98,5855
1,query-30.sparql,data_100.nt,96,65
1,query-31.sparql,data_100.nt,98,65
1,query-32.sparql,data_100.nt,97,82
1,query-33.sparql,data_100.nt,96,73
1,query-34.sparql,data_100.nt,99,74
1,query-35.sparql,data_100.nt,97,76
1,query-36.sparql,data_100.nt,95,415
1,query-37.sparql,data_100.nt,97,78
1,query-38.sparql,data_100.nt,98,1695
1,query-39.sparql,data_100.nt,95,86
1,query-4.sparql,data_100.nt,99,1745
1,query-40.sparql,data_100.nt,99,410
1,query-41.sparql,data_100.nt,95,763
1,query-42.sparql,data_100.nt,97,61
1,query-43.sparql,data_100.nt,98,1193
1,query-44.sparql,data_100.nt,96,82
1,query-46.sparql,data_100.nt,98,72
1,query-47.sparql,data_100.nt,105,72
1,query-48.sparql,data_100.nt,97,77
1,query-49.sparql,data_100.nt,97,469
1,query-5.sparql,data_100.nt,97,94
1,query-6.sparql,data_100.nt,98,1141
1,query-7.sparql,data_100.nt,95,1206
1,query-8.sparql,data_100.nt,112,839
1,query-9.sparql,data_100.nt,96,62
2,query-0.sparql,data_100.nt,99,124
2,query-1.sparql,data_100.nt,97,97
2,query-10.sparql,data_100.nt,99,88
2,query-11.sparql,data_100.nt,95,142
2,query-12.sparql,data_100.nt,100,427
2,query-13.sparql,data_100.nt,97,78
2,query-14.sparql,data_100.nt,99,206
2,query-15.sparql,data_100.nt,100,61
2,query-16.sparql,data_100.nt,98,232
2,query-17.sparql,data_100.nt,98,86
2,query-18.sparql,data_100.nt,95,62
2,query-19.sparql,data_100.nt,98,77
2,query-2.sparql,data_100.nt,99,15797
2,query-20.sparql,data_100.nt,97,163
2,query-21.sparql,data_100.nt,97,81
2,query-22.sparql,data_100.nt,98,6785
2,query-23.sparql,data_100.nt,97,78
2,query-24.sparql,data_100.nt,96,1288
2,query-25.sparql,data_100.nt,98,98
2,query-26.sparql,data_100.nt,97,65
2,query-27.sparql,data_100.nt,97,1430
2,query-28.sparql,data_100.nt,98,2544
2,query-29.sparql,data_100.nt,98,2112
2,query-3.sparql,data_100.nt,103,5810
2,query-30.sparql,data_100.nt,99,65
2,query-31.sparql,data_100.nt,98,65
2,query-32.sparql,data_100.nt,96,84
2,query-33.sparql,data_100.nt,96,75
2,query-34.sparql,data_100.nt,98,73
2,query-35.sparql,data_100.nt,96,75
2,query-36.sparql,data_100.nt,94,394
2,query-37.sparql,data_100.nt,102,79
2,query-38.sparql,data_100.nt,98,1518
2,query-39.sparql,data_100.nt,97,86
2,query-4.sparql,data_100.nt,97,1941
2,query-40.sparql,data_100.nt,98,406
2,query-41.sparql,data_100.nt,97,796
2,query-42.sparql,data_100.nt,97,62
2,query-43.sparql,data_100.nt,97,1330
2,query-44.sparql,data_100.nt,97,85
2,query-46.sparql,data_100.nt,99,73
2,query-47.sparql,data_100.nt,99,73
2,query-48.sparql,data_100.nt,96,73
2,query-49.sparql,data_100.nt,99,535
2,query-5.sparql,data_100.nt,94,92
2,query-6.sparql,data_100.nt,96,1171
2,query-7.sparql,data_100.nt,98,1203
2,query-8.sparql,data_100.nt,96,898
2,query-9.sparql,data_100.nt,96,62
3,query-0.sparql,data_100.nt,99,119
3,query-1.sparql,data_100.nt,103,95
