run,query,data,load_time,exec_time
1,query-38.sparql,data_100.nt,126,676
1,query-39.sparql,data_100.nt,126,124
1,query-4.sparql,data_100.nt,125,1923
1,query-40.sparql,data_100.nt,125,130
1,query-41.sparql,data_100.nt,125,2123
1,query-42.sparql,data_100.nt,129,90
1,query-43.sparql,data_100.nt,127,207
1,query-44.sparql,data_100.nt,126,105
1,query-46.sparql,data_100.nt,125,95
1,query-47.sparql,data_100.nt,128,97
1,query-48.sparql,data_100.nt,126,102
1,query-49.sparql,data_100.nt,124,136
1,query-5.sparql,data_100.nt,123,116
1,query-6.sparql,data_100.nt,125,732
1,query-7.sparql,data_100.nt,125,1998
1,query-8.sparql,data_100.nt,122,385
1,query-9.sparql,data_100.nt,127,88
2,query-0.sparql,data_100.nt,125,96
2,query-1.sparql,data_100.nt,125,118
2,query-10.sparql,data_100.nt,124,104
2,query-11.sparql,data_100.nt,126,154
2,query-12.sparql,data_100.nt,128,1129
2,query-13.sparql,data_100.nt,126,103
2,query-14.sparql,data_100.nt,125,108
2,query-15.sparql,data_100.nt,124,86
2,query-16.sparql,data_100.nt,125,216
2,query-17.sparql,data_100.nt,129,154
2,query-18.sparql,data_100.nt,127,90
2,query-19.sparql,data_100.nt,127,372
2,query-2.sparql,data_100.nt,129,39551
2,query-20.sparql,data_100.nt,136,141
2,query-21.sparql,data_100.nt,130,105
2,query-22.sparql,data_100.nt,126,12208
2,query-23.sparql,data_100.nt,125,793
2,query-24.sparql,data_100.nt,126,2178
2,query-25.sparql,data_100.nt,126,126
2,query-26.sparql,data_100.nt,125,82
2,query-27.sparql,data_100.nt,126,200
2,query-28.sparql,data_100.nt,125,362
2,query-29.sparql,data_100.nt,132,3330
2,query-3.sparql,data_100.nt,127,10354
2,query-30.sparql,data_100.nt,129,92
2,query-31.sparql,data_100.nt,123,85
2,query-32.sparql,data_100.nt,124,113
2,query-33.sparql,data_100.nt,124,83
2,query-34.sparql,data_100.nt,126,83
2,query-35.sparql,data_100.nt,130,156
2,query-36.sparql,data_100.nt,127,552
2,query-37.sparql,data_100.nt,124,106
2,query-38.sparql,data_100.nt,125,659
2,query-39.sparql,data_100.nt,123,120
2,query-4.sparql,data_100.nt,124,1934
2,query-40.sparql,data_100.nt,126,131
2,query-41.sparql,data_100.nt,125,2108
2,query-42.sparql,data_100.nt,126,90
2,query-43.sparql,data_100.nt,126,208
