run,query,data,type,phase,netw_time,reas_time
1,query-24.n3,data_100.nt,fwd,run,22,668
1,query-24.n3,data_100.nt,fwd,total,39,768
1,query-25.n3,data_100.nt,fwd,create,17,62
1,query-25.n3,data_100.nt,fwd,run,16,15
1,query-25.n3,data_100.nt,fwd,total,33,77
1,query-26.n3,data_100.nt,fwd,create,17,52
1,query-26.n3,data_100.nt,fwd,run,15,4
1,query-26.n3,data_100.nt,fwd,total,32,56
1,query-27.n3,data_100.nt,fwd,create,16,83
1,query-27.n3,data_100.nt,fwd,run,24,202
1,query-27.n3,data_100.nt,fwd,total,40,285
1,query-28.n3,data_100.nt,fwd,create,18,112
1,query-28.n3,data_100.nt,fwd,run,28,227
1,query-28.n3,data_100.nt,fwd,total,46,339
1,query-29.n3,data_100.nt,fwd,create,17,72
1,query-29.n3,data_100.nt,fwd,run,18,124
1,query-29.n3,data_100.nt,fwd,total,35,196
1,query-3.n3,data_100.nt,fwd,create,17,66
1,query-3.n3,data_100.nt,fwd,run,20,154
1,query-3.n3,data_100.nt,fwd,total,37,220
1,query-30.n3,data_100.nt,fwd,create,16,74
1,query-30.n3,data_100.nt,fwd,run,18,12
1,query-30.n3,data_100.nt,fwd,total,34,86
1,query-31.n3,data_100.nt,fwd,create,16,63
1,query-31.n3,data_100.nt,fwd,run,17,1183
1,query-31.n3,data_100.nt,fwd,total,33,1246
1,query-32.n3,data_100.nt,fwd,create,17,64
1,query-32.n3,data_100.nt,fwd,run,19,14
1,query-32.n3,data_100.nt,fwd,total,36,78
1,query-33.n3,data_100.nt,fwd,create,17,68
1,query-33.n3,data_100.nt,fwd,run,21,16
1,query-33.n3,data_100.nt,fwd,total,38,84
1,query-34.n3,data_100.nt,fwd,create,16,70
1,query-34.n3,data_100.nt,fwd,run,22,86
1,query-34.n3,data_100.nt,fwd,total,38,156
1,query-35.n3,data_100.nt,fwd,create,16,71
1,query-35.n3,data_100.nt,fwd,run,17,11
1,query-35.n3,data_100.nt,fwd,total,33,82
1,query-36.n3,data_100.nt,fwd,create,17,81
1,query-36.n3,data_100.nt,fwd,run,20,64
1,query-36.n3,data_100.nt,fwd,total,37,145
1,query-37.n3,data_100.nt,fwd,create,17,38
1,query-37.n3,data_100.nt,fwd,run,14,8
1,query-37.n3,data_100.nt,fwd,total,31,46
1,query-38.n3,data_100.nt,fwd,create,16,64
1,query-38.n3,data_100.nt,fwd,run,21,201
1,query-38.n3,data_100.nt,fwd,total,37,265
1,query-39.n3,data_100.nt,fwd,create,16,50
1,query-39.n3,data_100.nt,fwd,run,15,31
1,query-39.n3,data_100.nt,fwd,total,31,81
1,query-4.n3,data_100.nt,fwd,create,17,78
1,query-4.n3,data_100.nt,fwd,run,22,32
1,query-4.n3,data_100.nt,fwd,total,39,110
1,query-40.n3,data_100.nt,fwd,create,17,79
1,query-40.n3,data_100.nt,fwd,run,25,241
1,query-40.n3,data_100.nt,fwd,total,42,320
1,query-41.n3,data_100.nt,fwd,create,18,94
1,query-41.n3,data_100.nt,fwd,run,25,39
1,query-41.n3,data_100.nt,fwd,total,43,133
1,query-42.n3,data_100.nt,fwd,create,17,53
1,query-42.n3,data_100.nt,fwd,run,15,4
1,query-42.n3,data_100.nt,fwd,total,32,57
1,query-43.n3,data_100.nt,fwd,create,17,54
1,query-43.n3,data_100.nt,fwd,run,15,86
1,query-43.n3,data_100.nt,fwd,total,32,140
1,query-44.n3,data_100.nt,fwd,create,17,38
1,query-44.n3,data_100.nt,fwd,run,14,3
1,query-44.n3,data_100.nt,fwd,total,31,41
1,query-46.n3,data_100.nt,fwd,create,16,31
1,query-46.n3,data_100.nt,fwd,run,11,3
1,query-46.n3,data_100.nt,fwd,total,27,34
1,query-47.n3,data_100.nt,fwd,create,16,50
1,query-47.n3,data_100.nt,fwd,run,13,4
1,query-47.n3,data_100.nt,fwd,total,29,54
1,query-48.n3,data_100.nt,fwd,create,17,46
1,query-48.n3,data_100.nt,fwd,run,15,4
1,query-48.n3,data_100.nt,fwd,total,32,50
1,query-49.n3,data_100.nt,fwd,create,17,115
1,query-49.n3,data_100.nt,fwd,run,31,75
1,query-49.n3,data_100.nt,fwd,total,48,190
1,query-5.n3,data_100.nt,fwd,create,16,56
1,query-5.n3,data_100.nt,fwd,run,17,19
1,query-5.n3,data_100.nt,fwd,total,33,75
1,query-6.n3,data_100.nt,fwd,create,16,54
1,query-6.n3,data_100.nt,fwd,run,20,153
1,query-6.n3,data_100.nt,fwd,total,36,207
1,query-7.n3,data_100.nt,fwd,create,17,70
1,query-7.n3,data_100.nt,fwd,run,20,2413
1,query-7.n3,data_100.nt,fwd,total,37,2483
1,query-8.n3,data_100.nt,fwd,create,17,66
1,query-8.n3,data_100.nt,fwd,run,20,537
1,query-8.n3,data_100.nt,fwd,total,37,603
